CSV Table Format:,,,,
Deck,Front (Card),Question (Deck 3),Answer (Deck 3),
1,"* Scenario: You make valuable connections during a networking event.
* Wizcoin: “The strongest trees are rooted in the community.”
* Vocabulary: Networking (Building professional relationships), Connections (People you know in your industry).
* Effect: Gain an extra $200 for every new connection made during the year.",,,
1,"* Scenario: You present a unique skill to your class.
* Wizcoin: “Skills are the currency of the future.”
* Vocabulary: Presentation (Sharing knowledge with an audience), Feedback (Constructive criticism).
* Effect: Earn $450 based on peer feedback.",,,
1,"* Scenario: You choose to mentor a classmate.
* Wizcoin: “Teaching others is the best way to learn.”
* Vocabulary: Mentorship (Guidance provided by a more experienced individual), Mentee (The person being mentored).
* Effect: Both you and your mentee earn bonus Wizcoins.",,,
1,"* Scenario: You enhance your resume using AI tools.
* Wizcoin: “Your resume is your first impression; make it count.”
* Vocabulary: Resume (A document summarizing qualifications), AIResume.io (An online tool for creating resumes).
* Effect: Gain additional points with your teacher.",,,
1,"* Scenario: You access premium tech tools for career research.
* Wizcoin: “In the digital age, knowledge is power.”
* Vocabulary: Technology (Tools and platforms that enhance productivity), Social Media (Online platforms for networking).
* Effect: Earn an extra $300. Do you have a professional Website, or Social Media Brand for yourself
",,,
1,"* Scenario: You prepare for an interview using online resources.
* Wizcoin: “Preparation is the key to success.”
* Vocabulary: Interview (A formal meeting to assess a candidate), YouTube (Platform for learning and sharing skills).
* Effect: Earn $500 for sharing interview skills with the class.",,,
1,"* Scenario: You craft a compelling value proposition for a hiring manager.
* Wizcoin: “Your value proposition sets you apart.”
* Vocabulary: Value Proposition (A statement that outlines why someone should hire you), Hiring Manager (The person responsible for making hiring decisions).
* Effect: Impress the hiring manager; respond in 30 seconds or draw from the Debt Pitfall.",,,
1,"* Scenario: You discuss your career change and its purpose.
* Wizcoin: “Every path is an opportunity for growth.”
* Vocabulary: Career Path (The journey through your working life), Purpose (The reason for pursuing a career).
* Effect: Earn $700 by articulating your career goals.",,,
1,"* Scenario: You research a workshop for skills enhancement.
* Wizcoin: “Learning never stops; invest in yourself.”
* Vocabulary: Professional Development (Training to enhance skills), Workshop (Interactive training session).
* Effect: Share with the teacher for extra credit; earn $234.",,,
1,"* Scenario: You share a personal success story related to your career aspirations.
* Wizcoin: “Inspiration ignites ambition.”
* Vocabulary: Success Story (A narrative about achieving goals), Career Aspirations (Professional goals).
* Effect: Gain $600 for inspirational storytelling.",,,
1,"* Scenario: You continue to build connections throughout the year.
* Wizcoin: “The more you connect, the more you grow.”
* Vocabulary: Networking (Building professional relationships), Connection (A relationship with someone in your field).
* Effect: Gain an extra $200 for every new connection made during the year.",,,
1,"*Scenario: You invested in a low-risk bond and received a regular interest payment.
    * Wizcoin: “Wisdom is like a baobab tree; no one individual can embrace it.”
    * Vocabulary: Bonds (Debt securities where you lend money to an issuer), Interest (Money earned for allowing someone to use your money).
    * Effect: Gain $400 from bond interest. Advance to the Nearest Bond ",,,
1,"Scenario: You earned dividends from a successful stock investment.
    * Wizcoin: “The child who is carried on the back does not know how far the journey is.”
    * Vocabulary: Dividends (Payments from a company to its shareholders), Stocks (Shares representing ownership in a company).
    * Effect: Gain $600 from dividend payouts.",,,
1,"Scenario: You used compound interest to grow your savings account over time.
    * Wizcoin: “Rain does not fall on one roof alone.”
    * Vocabulary: Compound Interest (Interest on both the principal and accumulated interest).
    * Effect: Gain $400 from accumulated compound interest. Add $200 to your goal",,,
1,"Scenario: You made a smart purchase of a valuable asset, and it increased in value.
    * Wizcoin: “A single bracelet does not jingle.”
    * Vocabulary: Asset (An item with value), Appreciation (Increase in the value of an asset).
    * Effect: Gain $650 from asset appreciation. Game Tracker: Use this card to Get OUT OF JAIL. One Time Use.",,,
1,"*Scenario: You diversified your portfolio, reducing risk and increasing gains.
    * Wizcoin: “The river does not swell with clear water alone.”
    * Vocabulary: Diversification (Spreading investments to reduce risk), Portfolio (A collection of investments).
    * Effect: Gain $500 for successful diversification.",,,
